station_id,latitude,longitude,wind_dir_degrees,wind_speed_kt
KSEP,32.215,-98.1793,190,11
KSEF,27.4553,-81.3415,360,3
KSDF,38.1774,-85.7308,190,6
KSDC,43.2355,-77.1201,0,0
KSDA,40.7533,-95.4112,0,0
KSCX,36.4553,-84.584,220,3
KSCD,33.1732,-86.2933,260,5
KSBX,48.541,-111.871,220,6
KSBS,40.5153,-106.868,0,0
KSBO,32.6111,-82.3702,250,5
KSAZ,46.3785,-94.8017,0,0
KSAR,38.1463,-89.7025,270,3
KSAA,41.447,-106.815,140,9
KS52,48.4282,-120.15,140,3
KS39,44.2858,-120.901,0,0
KS34,47.4718,-114.901,0,0
KS33,44.6653,-121.157,0,0
KS32,47.424,-98.11,0,0
KS25,47.7954,-103.257,0,0
KS24,41.296,-83.037,230,6
KS21,43.8801,-121.454,200,8
KRZN,45.8229,-92.3706,310,3
KRZL,40.9488,-87.1851,190,10
KRYW,30.498,-97.969,190,8
KRYV,43.1702,-88.7251,110,3
KRWV,30.5161,-96.7051,190,5
KRVL,40.6768,-77.6251,0,0
KRVJ,32.059,-82.153,0,0
KRVF,45.534,-112.303,160,10
KRTS,39.6658,-119.873,310,6
KRST,43.904,-92.4921,230,4
KRRT,48.9318,-95.3405,0,0
KRRL,45.1985,-89.71,0,0
KRQO,35.4709,-98.0061,200,13
KRQB,43.722,-85.498,190,3
KRPJ,41.8906,-89.0817,160,7
KRPH,33.1096,-98.5537,170,9
KRPD,45.4186,-91.7764,0,0
KROX,48.856,-95.6949,0,0
KROS,45.6962,-92.9543,0,0
KRNV,33.762,-90.759,240,8
KRNP,42.9937,-84.1347,220,3
KRNH,45.1476,-92.5335,0,0
KRNC,35.6991,-85.8402,250,5
KRMY,42.2524,-84.9526,210,4
KRMN,38.3941,-77.4523,0,0
KRLD,46.3086,-119.306,140,3
KRKR,35.0187,-94.6202,200,12
KRGK,44.5927,-92.4844,0,0
KRGA,37.6305,-84.329,240,5
KRFI,32.1441,-94.8539,0,0
KREG,30.1756,-90.9397,270,3
KRDK,41.0107,-95.2622,0,0
KRCX,45.4935,-90.9985,0,0
KRCV,37.7092,-106.355,220,8
KRCR,41.0651,-86.1864,210,8
KRCM,38.7855,-93.8058,200,12
KRCE,35.4971,-97.8255,200,14
KRBW,32.921,-80.64,0,0
KRBO,27.7781,-97.6878,160,11
KRAW,38.3484,-93.3436,220,15
KRAS,27.8083,-97.0853,150,11
KPZZ,28.4344,-91.0344,200,9
KPZQ,45.4085,-83.812,0,0
KPYX,36.4103,-100.751,190,18
KPXE,32.5072,-83.7656,250,6
KPWD,48.7912,-104.525,160,7
KPWC,46.7266,-94.3849,0,0
KPVW,34.169,-101.723,210,13
KPVJ,34.7041,-97.2211,200,16
KPVF,38.7222,-120.757,110,6
KPVE,35.6592,-88.1929,210,6
KPVB,42.6909,-90.4413,110,3
KPUJ,33.9085,-84.9369,290,5
KPTT,37.7069,-98.7453,150,8
KPTS,37.4512,-94.7322,230,13
KPTD,44.6757,-74.9469,0,0
KPTB,37.1803,-77.5081,210,6
KPSO,37.291,-107.056,0,0
KPSN,31.7784,-95.7048,190,8
KPSK,37.1337,-80.6789,0,0
KPRS,29.6346,-104.358,40,8
KPRG,39.6982,-87.6669,220,5
KPPQ,39.6391,-90.7818,170,5
KPPO,41.5705,-86.7333,160,9
KPPA,35.6139,-100.997,200,19
KPOY,44.8641,-108.79,110,5
KPOV,41.209,-81.2479,260,4
KPNT,40.9233,-88.6213,200,6
KPNM,45.556,-93.608,320,3
KPNA,42.7929,-109.805,280,4
KPMV,40.9446,-95.9124,30,3
KPMU,34.3656,-89.8904,230,9
KPLU,47.1005,-122.285,0,0
KPLR,33.5608,-86.2463,0,0
KPLD,40.4532,-84.9848,230,7
KPJC,40.8009,-80.1624,220,3
KPHT,36.3322,-88.3871,240,8
KPHN,42.9103,-82.5332,0,0
KPEZ,28.9561,-98.5184,170,13
KPEX,45.3725,-94.7388,0,0
KPEQ,31.382,-103.512,120,8
KPEA,41.3989,-92.9431,0,0
KPDC,43.0194,-91.1212,0,0
KPCZ,44.3342,-89.0203,230,3
KPCW,41.5188,-82.8692,240,9
KPCM,28.0013,-82.1593,0,0
KPCD,37.8749,-89.8582,310,6
KPBX,37.5587,-82.5674,0,0
KPBH,45.7064,-90.4052,0,0
KPAN,34.2551,-111.338,0,0
KP52,34.7263,-112.034,0,0
KOZW,42.6327,-83.9854,210,5
KOZS,37.9745,-92.6897,280,9
KOZA,30.7312,-101.203,170,16
KOYM,41.4118,-78.5131,0,0
KOYE,28.8669,-90.4911,150,8
KOXI,41.3275,-86.665,180,7
KOWP,36.1721,-96.1536,190,8
KOWI,38.5409,-95.2542,220,11
KOVL,44.7792,-95.0304,0,0
KOSC,44.453,-83.396,180,6
KOSA,33.0936,-94.9601,220,11
KORS,48.7081,-122.909,170,9
KORK,34.833,-92.2557,230,10
KORG,30.068,-93.8043,0,0
KOQN,39.9889,-75.5803,190,3
KOPN,32.954,-84.2595,0,0
KOOA,41.2273,-92.4919,0,0
KONZ,42.0991,-83.161,170,4
KONX,36.399,-76.014,220,9
KONP,44.5825,-124.057,0,0
KONM,34.0263,-106.904,0,0
KONL,42.4691,-98.6903,330,3
KOMH,38.2487,-78.0454,220,5
KOLZ,42.6831,-91.976,0,0
KOLY,38.7213,-88.1799,280,5
KOLG,46.3153,-91.8183,0,0
KOLE,42.2429,-78.3721,0,0
KOKZ,32.9651,-82.8387,220,5
KOKM,35.6713,-95.9514,210,11
KOKK,40.5304,-86.055,220,11
KOJA,35.5484,-98.6702,200,15
KOIN,39.8298,-100.538,180,3
KOIC,42.5642,-75.5269,150,3
KOGS,44.68,-75.4641,0,0
KOGA,41.1164,-101.768,0,0
KOEO,45.3108,-92.6948,10,4
KOEL,39.1139,-100.819,150,11
KOCQ,44.8749,-87.9084,0,0
KOBE,27.2663,-80.8487,0,0
KOAR,36.6815,-121.757,0,0
KO86,40.9845,-122.693,0,0
KO69,38.2601,-122.607,280,5
KO54,40.746,-122.922,0,0
KO32,36.6691,-119.453,0,0
KO22,38.03,-120.415,0,0
KO05,40.2865,-121.243,0,0
KNY0,42.999,-74.3292,0,0
KNRN,39.8497,-99.8915,320,4
KNOW,48.1394,-123.403,70,5
KN79,40.8371,-76.546,0,0
KN38,41.7287,-77.3958,190,4
KN03,42.5929,-76.2174,40,3
KMZZ,40.4863,-85.6859,210,6
KMZJ,32.5147,-111.335,0,0
KMZH,46.4163,-92.8049,0,0
KMYZ,39.8544,-96.6279,280,5
KMYP,38.4972,-106.32,290,20
KMYJ,39.1561,-91.8129,160,7
KMXO,42.2203,-91.1604,0,0
KMWO,39.5324,-84.3973,230,8
KMWM,43.91,-95.1073,360,3
KMVH,46.838,-108.936,270,7
KMVE,44.9675,-95.7116,0,0
KMTV,36.6272,-80.0134,220,5
KMTK,28.6967,-89.3958,240,6
KMRT,40.2237,-83.3475,240,4
KMRJ,42.8875,-90.2315,120,4
KMQW,32.0942,-82.882,240,4
KMQJ,39.8402,-85.894,220,7
KMQB,40.5176,-90.6481,220,6
KMPZ,40.9453,-91.5122,190,4
KMPR,38.3491,-97.6883,170,11
KMOX,45.5677,-95.9659,0,0
KMOR,36.1746,-83.3853,270,8
KMOP,43.6229,-84.743,210,4
KMNZ,31.6697,-98.1462,180,13
KMNI,33.5882,-80.2059,180,4
KMNH,39.2232,-104.642,210,5
KMNE,32.6433,-93.2972,200,6
KMMH,37.6253,-118.838,0,0
KMLJ,33.153,-83.242,0,0
KMLE,41.1981,-96.1131,0,0
KMKS,33.1874,-80.0363,0,0
KMKQ,27.5197,-90.0981,210,8
KMKN,31.924,-98.5978,190,16
KMKJ,36.8944,-81.3449,260,4
KMJQ,43.6496,-94.9885,0,0
KMJD,30.494,-89.6535,300,6
KMIO,36.9128,-94.8893,220,15
KMHR,38.56,-121.284,200,7
KMHP,32.374,-82.079,160,3
KMHL,39.093,-93.2024,230,10
KMGR,31.0835,-83.8035,0,0
KMGN,45.4241,-84.913,240,3
KMGG,45.2354,-93.9896,0,0
KMGC,41.7048,-86.8183,180,6
KMEZ,34.5414,-94.1918,240,7
KMEV,38.9963,-119.75,0,0
KMDZ,45.1013,-90.3064,0,0
KMDS,44.0141,-97.0817,0,0
KMDQ,34.866,-86.559,240,7
KMDD,32.0359,-102.1,170,12
KMCX,40.7127,-86.7649,180,6
KMCJ,29.7139,-95.3967,180,10
KMCD,45.866,-84.634,170,3
KMCC,38.678,-121.403,170,11
KMBY,39.464,-92.4244,220,10
KMBT,35.8767,-86.3793,210,5
KMBO,32.4385,-90.1014,260,4
KMAW,36.5945,-89.9865,220,8
KMAO,34.1852,-79.3341,220,4
KMAN,43.582,-116.521,0,0
KMAF,31.9475,-102.209,190,18
KM91,36.5363,-86.919,210,5
KM75,48.3686,-107.919,0,0
KM40,33.8755,-88.4872,220,5
KM30,37.1824,-88.7487,200,3
KM25,36.764,-88.5829,240,8
KM21,37.2291,-87.1542,200,4
KM08,35.2155,-89.0449,210,8
KM02,36.1289,-87.4283,230,5
KM01,35.2004,-90.0548,230,9
KLYV,43.6217,-96.214,0,0
KLYO,38.343,-98.2266,150,12
KNYC,40.779,-73.9692,0,0
KNBT,35.022,-76.463,230,6
KMYL,44.8943,-116.1,0,0
KMPV,44.205,-72.5655,30,3
KJFK,40.6392,-73.7639,220,9
KILG,39.6744,-75.6057,200,7
KIGM,35.2575,-113.934,150,9
KHSE,35.2324,-75.6223,280,4
KHDO,29.3601,-99.1742,160,12
KERI,42.0803,-80.1824,270,6
KELP,31.8123,-106.377,180,4
KEKN,38.8899,-79.8554,220,3
KDAW,43.2794,-70.9243,50,8
KCSG,32.5163,-84.9422,230,5
KCRP,27.7733,-97.513,160,13
KCON,43.2049,-71.5026,40,7
KCMH,39.9907,-82.8771,200,7
KCDJ,39.8198,-93.577,170,4
KCAK,40.9181,-81.4434,240,4
KBHK,46.3521,-104.261,160,10
KBGD,35.695,-101.396,220,11
KBED,42.4681,-71.2946,320,3
KALB,42.7473,-73.7991,160,5
KAHN,33.9477,-83.3274,230,4
KACT,31.618,-97.2283,180,13
KABE,40.658,-75.4347,0,0
K6R6,30.0482,-102.213,120,8
VECX,9.15,92.817,100,5
TJBQ,18.494,-67.128,90,11
SFAL,-51.686,-57.778,300,11
PTRO,7.367,134.544,340,3
OOSH,24.388,56.624,100,11
OOSA,17.044,54.102,190,5
OOMS,23.595,58.298,50,12
OOKB,26.168,56.239,10,10
OODQ,19.511,57.657,210,29
OOAD,22.5,57.37,250,15
NSTU,-14.337,-170.721,160,12
MUVR,23.033,-81.435,130,5
MUSC,22.494,-79.931,110,8
MUHG,20.786,-76.316,90,12
MUHA,22.991,-82.41,80,8
MUCU,19.971,-75.837,20,6
MUCM,21.42,-77.85,60,11
MUCL,21.621,-81.552,100,11
MUCF,22.159,-80.41,90,8
MUCC,22.456,-78.339,110,8
LXGB,36.151,-5.35,80,11
LTFO,41.179,40.845,260,7
LTFM,41.262,28.74,50,18
LTFK,40.2,25.883,340,8
LTFJ,40.899,29.309,50,20
LTFH,41.255,36.567,350,7
LTFG,36.299,32.3,230,6
LTFE,37.245,27.673,250,13
LTFD,39.559,27.025,40,15
LTFC,37.855,30.368,340,8
LTFB,37.951,27.333,250,14
LTDA,36.361,36.283,210,19
LTCW,37.55,44.238,60,15
LTCV,37.365,42.06,300,16
LTCT,39.977,43.878,40,4
LTCS,37.445,38.904,50,13
LTCR,37.232,40.638,10,12
LTCP,37.731,38.469,30,10
LTCN,37.539,36.953,290,12
LTCK,38.748,41.661,70,18
LTCJ,37.93,41.117,360,10
LTCI,38.469,43.337,40,15
LTCF,40.562,43.115,50,13
LTCE,39.956,41.17,80,15
LTCC,37.894,40.201,360,8
LTCB,40.967,38.081,300,8
LTCA,38.607,39.291,300,9
LTBU,41.139,27.919,30,18
LTBS,36.713,28.793,190,11
LTBR,40.255,29.562,360,14
LTBQ,40.735,30.083,60,9
LTBO,38.68,29.483,100,9
LTBJ,38.285,27.155,330,19
LTBH,40.14,26.425,30,18
LTBF,39.619,27.926,10,18
LTBD,37.816,27.886,240,11
LTBA,40.982,28.821,50,22
LTAZ,38.771,34.521,20,11
LTAY,37.785,29.701,60,10
LTAU,38.77,35.495,60,4
LTAS,41.507,32.089,310,12
LTAR,39.798,36.894,350,17
LTAP,40.826,35.52,50,18
LTAN,37.979,32.562,30,11
LTAJ,36.947,37.479,340,5
LTAI,36.9,30.798,200,14
LTAG,37.002,35.426,220,12
LTAF,36.989,35.293,240,11
LTAE,40.079,32.566,110,7
LTAC,40.128,32.995,60,9
LIRU,41.953,12.5,240,9
LIRI,40.62,14.911,220,6
LIQN,42.427,12.85,280,7
LIPK,44.196,12.07,110,7
LIPB,46.46,11.326,190,7
LIMP,44.825,10.296,60,7
LIMG,44.046,8.126,80,7
LICG,36.814,11.971,340,5
LIBG,40.517,17.403,20,12
LIBF,41.433,15.535,350,18
LIBC,38.997,17.079,40,10
LGSO,37.422,24.95,360,18
LGSM,37.69,26.912,320,11
LGNX,37.081,25.369,20,18
LGKP,35.421,27.146,280,28
LGHI,38.343,26.141,30,9
LCRA,34.59,32.988,250,10
LCEN,35.155,33.496,150,11
KTOA,33.803,-118.336,0,0
KSUN,43.4969,-114.292,310,10
KRYY,34.0146,-84.5964,270,3
KOMN,29.3009,-81.111,100,8
KOLV,34.9808,-89.7851,240,10
KNQA,35.3619,-89.8612,230,6
KMTN,39.3214,-76.4065,190,6
KLAL,27.9866,-82.0193,0,0
KJWN,36.1852,-86.8833,230,3
KJQF,35.3896,-80.7074,0,0
KHXD,32.2263,-80.6949,0,0
KHQZ,32.7514,-96.5291,180,7
KHOB,32.6797,-103.222,150,14
KGYI,33.7231,-96.6714,190,9
KGPM,32.6928,-97.0485,190,11
KFMH,41.6608,-70.5221,170,6
KFIN,29.467,-81.207,130,5
KDAG,34.8537,-116.787,270,9
KCWF,30.2216,-93.1467,180,5
KADM,34.3007,-97.0089,190,13
FHAW,-7.97,-14.394,140,14
ETNG,50.964,6.032,100,8
ENVR,67.653,12.723,230,7
ENNO,59.565,9.217,90,6
ENLK,68.155,13.615,320,5
ENHE,65.325,2.327,210,10
ENHD,59.341,5.22,170,10
ENBO,67.267,14.359,300,6
EKVD,55.436,9.329,260,9
EGYP,-51.82,-58.448,300,10
EGYM,52.648,0.567,160,6
EGYH,52.873,0.139,70,13
EGYE,52.962,-0.562,220,9
EGYD,53.031,-0.503,160,6
EGXZ,54.205,-1.39,220,11
EGXW,53.175,-0.523,190,9
EGXV,53.876,-0.435,220,8
EGXT,52.611,-0.461,190,8
EGXS,53.475,0.152,120,16
EGXE,54.297,-1.533,230,10
EGXC,53.094,-0.173,200,7
EGWC,52.64,-2.311,210,7
EGVP,51.139,-1.569,170,7
EGVO,51.239,-0.945,120,6
EGUW,52.124,0.957,150,11
EGUB,51.62,-1.099,110,7
EGQS,57.711,-3.324,290,11
EGQM,55.421,-1.601,230,11
EGQL,56.377,-2.862,240,15
EGQK,57.646,-3.563,260,6
EGQA,57.825,-3.955,210,17
EGPH,55.952,-3.36,220,15
EGOW,53.582,-3.055,320,8
EGOV,53.252,-4.536,260,7
EGOS,52.795,-2.665,190,9
EGOP,51.714,-4.367,240,5
EGOM,55.05,-2.554,270,9
EGNJ,53.58,-0.341,220,10
EGDY,51.006,-2.643,150,10
EGDR,50.084,-5.257,220,6
EGDM,51.153,-1.75,140,9
EEEI,59.26,24.209,350,10
BGSF,67.013,-50.718,250,2
BGKK,65.575,-37.133,240,11
BGJN,69.24,-51.064,320,3
BGGH,64.191,-51.677,170,39
BGBW,61.164,-45.42,230,12
MMMM,19.844,-101.037,0,0
MMCL,24.766,-107.476,10,7
KHUM,29.5634,-90.6629,0,0
KBKB,31.022,-92.911,0,0
PAHY,55.202,-132.825,0,0
MMPS,15.876,-97.093,0,0
MMMZ,23.161,-106.271,40,5
KJDN,47.3259,-106.949,0,0
KIWA,33.3008,-111.644,140,6
KFWS,32.558,-97.308,180,9
KBJC,39.9008,-105.104,320,3
KASG,36.1802,-94.1176,210,11
MMVA,17.998,-92.817,100,8
MMUN,21.038,-86.855,90,5
MMMX,19.436,-99.072,50,3
MMMD,20.936,-89.659,100,12
MMAA,16.758,-99.754,0,0
KTRK,39.3154,-120.137,0,0
KTIX,28.508,-80.798,300,4
KSUA,27.1815,-80.2252,0,0
KSEE,32.8273,-116.974,0,0
KSAW,46.341,-87.395,190,8
KPOC,34.0928,-117.779,0,0
KPAO,37.458,-122.112,280,4
KMWN,44.271,-71.304,90,23
KLBE,40.2767,-79.4039,220,12
KHSA,30.3765,-89.4554,0,0
KGYR,33.428,-112.368,120,7
KGEU,33.528,-112.293,0,0
KFDK,39.4177,-77.3696,210,6
KEVB,29.0568,-80.9491,100,7
KCWA,44.7795,-89.671,0,0
KCFO,39.7948,-104.54,220,7
KAEG,35.15,-106.793,360,9
KADS,32.9634,-96.8354,190,10
K14Y,45.9017,-94.8727,0,0
MMVR,19.144,-96.189,0,0
MMSM,19.763,-99.002,0,0
MMEP,21.418,-104.842,0,0
MMBT,15.775,-96.26,0,0
KTZR,39.8988,-83.1357,220,7
EQYS,37.4,14.92,100,12
TJIG,18.457,-66.094,100,12
PAKU,70.331,-149.613,70,14
MMTL,20.1725,-87.6622,0,0
MMTJ,32.544,-116.982,0,0
MMCB,18.83,-99.265,280,5
LHSN,47.123,20.235,330,10
LHSM,46.689,17.161,350,7
LHPR,47.627,17.808,350,12
LHPP,45.991,18.241,310,7
LHPA,47.362,17.494,330,9
LHNY,47.985,21.692,280,7
LHKE,46.917,19.749,310,13
KUES,43.0425,-88.2465,0,0
KOUN,35.2436,-97.4713,180,15
KMWC,43.1095,-88.0343,0,0
KMMU,40.7989,-74.4164,0,0
KLWB,37.8633,-80.3923,0,0
KESN,38.804,-76.069,220,8
KCGF,41.566,-81.4827,280,4
KBOW,27.9471,-81.7811,0,0
KBBG,36.5259,-93.1969,210,6
KBAK,39.2664,-85.8926,200,7
KATW,44.2519,-88.526,220,6
MMLO,20.997,-101.481,0,0
MMGL,20.523,-103.312,0,0
MMOX,17.002,-96.724,40,4
MMML,32.631,-115.238,0,0
MMLP,24.077,-110.364,190,11
MMCM,18.504,-88.326,80,6
MMCE,18.651,-91.8,110,12
MMAS,21.702,-102.318,40,3
MMPB,19.17,-98.371,340,4
MMCV,23.706,-98.959,130,14
MMCN,27.395,-109.837,180,3
MMTG,16.571,-93.03,130,3
MMMA,25.77,-97.523,150,5
MMCZ,20.516,-86.932,100,7
MMZO,19.147,-104.565,360,6
MMZH,17.605,-101.464,0,0
MMZC,22.904,-102.68,0,0
MMTP,14.795,-92.371,0,0
MMTC,25.564,-103.408,120,8
MMSP,22.256,-100.93,30,3
MMSD,23.157,-109.72,330,4
MMRX,26.01,-98.232,230,7
MMQT,20.617,-100.194,100,12
MMPR,20.68,-105.25,350,2
MMPQ,17.534,-92.017,0,0
MMPN,19.396,-102.041,0,0
MMPA,20.601,-97.459,0,0
MMNL,27.448,-99.574,130,10
MMMY,25.774,-100.104,100,8
MMMT,18.098,-94.583,0,0
MMIA,19.276,-103.576,0,0
MMHO,29.097,-111.051,70,7
MMGA,-99.99,-99.99,0,0
MMDO,24.124,-104.532,0,0
MMCU,28.701,-105.965,340,4
MMCS,31.636,-106.427,200,6
MMCP,19.817,-90.502,120,10
MMAN,25.865,-100.239,100,7
ETNL,53.916,12.279,330,11
PAAK,52.219,-174.208,290,14
KDUB,43.5485,-109.684,0,0
PAOO,60.537,-165.089,190,15
RKNW,37.337,127.947,220,9
VYMD,21.702,95.978,180,10
LEGA,37.136,-3.633,170,19
EIKY,52.18,-9.538,210,6
ETWM,52.725,7.33,150,4
ETSN,48.71,11.21,50,4
ETSL,48.185,10.861,10,5
ETSH,51.768,13.168,300,7
ETSB,50.175,7.06,100,6
ETNW,52.457,9.427,80,3
ETNT,53.548,7.667,90,3
ETNS,54.457,9.52,300,9
ETNN,50.829,6.66,110,6
ETNH,54.312,9.538,280,7
ETND,52.588,8.342,150,4
ETMN,53.765,8.658,350,3
ETHS,52.918,10.184,210,3
ETHN,49.398,9.958,80,6
ETHL,48.218,9.91,100,6
ETHF,51.114,9.286,110,4
ETHC,52.591,10.022,90,2
ETHB,52.279,9.082,170,3
ETHA,47.834,10.867,80,5
ETGG,54.827,9.506,280,8
ENSL,58.367,1.907,180,17
ENSF,61.25,1.85,200,28
ENSE,61.45,2.15,150,14
ENQR,61.53,2.22,150,24
ENQC,60.886,3.61,150,24
ENQA,60.645,3.725,150,24
KMFV,37.646,-75.763,240,6
